"Current Profile for a mix of driving cycles including UDDS, US06, and HWFET",
RecordingTime,Current
9694.8,-1.522854
9694.9,-1.506303
9695,-1.506303
9695.1,-1.522854
9695.2,-1.522854
9695.3,-0.645606
9695.4,-0.446983
9695.5,-0.480087
9695.6,-0.446983
9695.7,-0.480087
9695.8,-0.480087
9695.9,-0.480087
9696,-0.463535
9696.1,-0.463535
9696.2,-0.480087
9696.3,-0.778021
9696.4,-0.844228
9696.5,-0.827676
9696.6,-0.844228
9696.7,-0.844228
9696.8,-0.827676
9696.9,-0.844228
9697,-0.86078
9697.1,-0.827676
9697.2,-0.827676
9697.3,-1.721477
9697.4,-1.920099
9697.5,-1.886995
9697.6,-1.903547
9697.7,-1.886995
9697.8,-1.903547
9697.9,-1.920099
9698,-1.903547
9698.1,-1.936651
9698.2,-1.903547
9698.3,-1.638718
9698.4,-1.57251
9698.5,-1.555958
9698.6,-1.57251
9698.7,-1.57251
9698.8,-1.589062
9698.9,-1.589062
9699,-1.589062
9699.1,-1.589062
9699.2,-1.605614
9699.3,-1.589062
9699.4,-1.589062
9699.5,-1.589062
9699.6,-1.589062
9699.7,-1.589062
9699.8,-1.605614
9699.9,-1.605614
9700,-1.605614
9700.1,-1.622166
9700.2,-1.605614
9700.3,-1.622166
9700.4,-1.605614
9700.5,-1.622166
9700.6,-1.622166
9700.7,-1.622166
9700.8,-1.622166
9700.9,-1.622166
9701,-1.622166
9701.1,-1.622166
9701.2,-1.622166
9701.3,-1.291128
9701.4,-1.241473
9701.5,-1.274577
9701.6,-1.258025
9701.7,-1.291128
9701.8,-1.274577
9701.9,-1.274577
9702,-1.291128
9702.1,-1.274577
9702.2,-1.258025
9702.3,-1.605614
9702.4,-1.671821
9702.5,-1.655269
9702.6,-1.638718
9702.7,-1.655269
9702.8,-1.671821
9702.9,-1.655269
9703,-1.655269
9703.1,-1.655269
9703.2,-1.638718
9703.3,-2.615278
9703.4,-2.780796
9703.5,-2.764244
9703.6,-2.797348
9703.7,-2.764244
9703.8,-2.780796
9703.9,-2.797348
9704,-2.797348
9704.1,-2.797348
9704.2,-2.8139
9704.3,-1.870444
9704.4,-1.671821
9704.5,-1.721477
9704.6,-1.704925
9704.7,-1.704925
9704.8,-1.688373
9704.9,-1.721477
9705,-1.688373
9705.1,-1.704925
9705.2,-1.738029
9705.3,-1.423543
9705.4,-1.324232
9705.5,-1.357336
9705.6,-1.340784
9705.7,-1.340784
9705.8,-1.340784
9705.9,-1.357336
9706,-1.340784
9706.1,-1.340784
9706.2,-1.340784
9706.3,-1.059402
9706.4,-0.943539
9706.5,-0.960091
9706.6,-0.960091
9706.7,-0.976643
9706.8,-0.960091
9706.9,-0.960091
9707,-0.960091
9707.1,-0.960091
9707.2,-0.960091
9707.3,-0.182154
9707.4,0.049573
9707.5,-0.000083
9707.6,0.016469
9707.7,0.033021
9707.8,-0.000083
9707.9,0.016469
9708,0.066124
9708.1,0.049573
9708.2,-0.000083
9708.3,-0.182154
9708.4,-0.182154
9708.5,-0.165602
9708.6,-0.182154
9708.7,-0.198705
9708.8,-0.198705
9708.9,-0.182154
9709,-0.182154
9709.1,-0.198705
9709.2,-0.182154
9709.3,-0.016635
9709.4,0.016469
9709.5,0.066124
9709.6,-0.016635
9709.7,-0.000083
9709.8,-0.016635
9709.9,-0.000083
9710,-0.000083
9710.1,0.082676
9710.2,-0.000083
9710.3,-0.165602
9710.4,-0.182154
9710.5,-0.165602
9710.6,-0.182154
9710.7,-0.182154
9710.8,-0.14905
9710.9,-0.198705
9711,-0.198705
9711.1,-0.182154
9711.2,-0.165602
9711.3,-0.165602
9711.4,-0.14905
9711.5,-0.14905
9711.6,-0.14905
9711.7,-0.14905
9711.8,-0.198705
9711.9,-0.182154
9712,-0.165602
9712.1,-0.198705
9712.2,-0.165602
9712.3,-0.016635
9712.4,-0.016635
9712.5,0.066124
9712.6,0.066124
9712.7,0.066124
9712.8,0.082676
9712.9,0.016469
9713,0.082676
9713.1,0.049573
9713.2,-0.016635
9713.3,-0.016635
9713.4,0.016469
9713.5,0.082676
9713.6,0.033021
9713.7,0.066124
9713.8,-0.000083
9713.9,0.016469
9714,0.049573
9714.1,0.082676
9714.2,0.082676
9714.3,-0.14905
9714.4,-0.215257
9714.5,-0.14905
9714.6,-0.165602
9714.7,-0.14905
9714.8,-0.165602
9714.9,-0.182154
9715,-0.165602
9715.1,-0.182154
9715.2,-0.215257
9715.3,-0.016635
9715.4,-0.000083
9715.5,-0.000083
9715.6,-0.016635
9715.7,-0.016635
9715.8,-0.000083
9715.9,-0.016635
9716,-0.000083
9716.1,-0.000083
9716.2,-0.016635
9716.3,-0.000083
9716.4,-0.016635
9716.5,-0.016635
9716.6,0.066124
9716.7,-0.016635
9716.8,-0.000083
9716.9,-0.016635
9717,-0.016635
9717.1,-0.000083
9717.2,-0.000083
9717.3,-0.496639
9717.4,-0.579398
9717.5,-0.562846
9717.6,-0.562846
9717.7,-0.59595
9717.8,-0.579398
9717.9,-0.579398
9718,-0.579398
9718.1,-0.562846
9718.2,-0.562846
9718.3,-0.579398
9718.4,-0.562846
9718.5,-0.579398
9718.6,-0.579398
9718.7,-0.562846
9718.8,-0.562846
9718.9,-0.562846
9719,-0.579398
9719.1,-0.579398
9719.2,-0.579398
9719.3,-0.844228
9719.4,-0.960091
9719.5,-0.943539
9719.6,-0.960091
9719.7,-0.960091
9719.8,-0.943539
9719.9,-0.960091
9720,-0.960091
9720.1,-0.976643
9720.2,-0.943539
9720.3,-1.30768
9720.4,-1.340784
9720.5,-1.340784
9720.6,-1.340784
9720.7,-1.340784
9720.8,-1.357336
9720.9,-1.340784
9721,-1.340784
9721.1,-1.340784
9721.2,-1.340784
9721.3,-1.704925
9721.4,-1.754581
9721.5,-1.721477
9721.6,-1.738029
9721.7,-1.754581
9721.8,-1.738029
9721.9,-1.738029
9722,-1.754581
9722.1,-1.738029
9722.2,-1.738029
9722.3,-0.744917
9722.4,-0.546295
9722.5,-0.59595
9722.6,-0.59595
9722.7,-0.59595
9722.8,-0.59595
9722.9,-0.59595
9723,-0.579398
9723.1,-0.612502
9723.2,-0.59595
9723.3,-0.281465
9723.4,-0.182154
9723.5,-0.198705
9723.6,-0.182154
9723.7,-0.165602
9723.8,-0.182154
9723.9,-0.182154
9724,-0.182154
9724.1,-0.182154
9724.2,-0.198705
9724.3,-0.198705
9724.4,-0.182154
9724.5,-0.182154
9724.6,-0.215257
9724.7,-0.182154
9724.8,-0.198705
9724.9,-0.215257
9725,-0.165602
9725.1,-0.182154
9725.2,-0.165602
9725.3,-0.198705
9725.4,-0.182154
9725.5,-0.198705
9725.6,-0.198705
9725.7,-0.165602
9725.8,-0.198705
9725.9,-0.182154
9726,-0.215257
9726.1,-0.198705
9726.2,-0.198705
9726.3,-0.182154
9726.4,-0.198705
9726.5,-0.182154
9726.6,-0.182154
9726.7,-0.215257
9726.8,-0.198705
9726.9,-0.165602
9727,-0.165602
9727.1,-0.198705
9727.2,-0.198705
9727.3,-0.496639
9727.4,-0.579398
9727.5,-0.59595
9727.6,-0.59595
9727.7,-0.562846
9727.8,-0.562846
9727.9,-0.579398
9728,-0.562846
9728.1,-0.579398
9728.2,-0.562846
9728.3,-0.546295
9728.4,-0.562846
9728.5,-0.579398
9728.6,-0.579398
9728.7,-0.612502
9728.8,-0.579398
9728.9,-0.59595
9729,-0.59595
9729.1,-0.612502
9729.2,-0.612502
9729.3,-0.231809
9729.4,-0.165602
9729.5,-0.215257
9729.6,-0.165602
9729.7,-0.182154
9729.8,-0.182154
9729.9,-0.198705
9730,-0.182154
9730.1,-0.182154
9730.2,-0.182154
9730.3,-0.016635
9730.4,-0.016635
9730.5,-0.016635
9730.6,-0.016635
9730.7,0.016469
9730.8,-0.016635
9730.9,-0.016635
9731,-0.000083
9731.1,-0.000083
9731.2,-0.000083
9731.3,-1.655269
9731.4,-2.184929
9731.5,-2.118721
9731.6,-2.135273
9731.7,-2.135273
9731.8,-2.135273
9731.9,-2.135273
9732,-2.135273
9732.1,-2.135273
9732.2,-2.135273
9732.3,-1.473199
9732.4,-1.357336
9732.5,-1.39044
9732.6,-1.39044
9732.7,-1.373888
9732.8,-1.373888
9732.9,-1.39044
9733,-1.39044
9733.1,-1.406991
9733.2,-1.373888
9733.3,-1.026299
9733.4,-0.976643
9733.5,-0.976643
9733.6,-1.04285
9733.7,-0.993195
9733.8,-0.993195
9733.9,-0.993195
9734,-0.993195
9734.1,-0.993195
9734.2,-1.026299
9734.3,-0.347672
9734.4,-0.165602
9734.5,-0.198705
9734.6,-0.215257
9734.7,-0.198705
9734.8,-0.182154
9734.9,-0.198705
9735,-0.198705
9735.1,-0.182154
9735.2,-0.182154
9735.3,-0.198705
9735.4,-0.182154
9735.5,-0.165602
9735.6,-0.198705
9735.7,-0.198705
9735.8,-0.182154
9735.9,-0.182154
9736,-0.182154
9736.1,-0.182154
9736.2,-0.215257
9736.3,-0.198705
9736.4,-0.198705
9736.5,-0.182154
9736.6,-0.198705
9736.7,-0.215257
9736.8,-0.182154
9736.9,-0.182154
9737,-0.215257
9737.1,-0.182154
9737.2,-0.182154
9737.3,-0.198705
9737.4,-0.215257
9737.5,-0.198705
9737.6,-0.182154
9737.7,-0.182154
9737.8,-0.198705
9737.9,-0.215257
9738,-0.198705
9738.1,-0.198705
9738.2,-0.182154
9738.3,-0.016635
9738.4,-0.016635
9738.5,-0.016635
9738.6,-0.000083
9738.7,-0.016635
9738.8,-0.016635
9738.9,-0.016635
9739,-0.016635
9739.1,-0.016635
9739.2,-0.016635
9739.3,-0.016635
9739.4,-0.016635
9739.5,-0.016635
9739.6,-0.016635
9739.7,-0.000083
9739.8,-0.016635
9739.9,-0.016635
9740,-0.016635
9740.1,-0.016635
9740.2,-0.016635
9740.3,0.496473
9740.4,0.546129
9740.5,0.529577
9740.6,0.546129
9740.7,0.513025
9740.8,0.513025
9740.9,0.513025
9741,0.529577
9741.1,0.56268
9741.2,0.496473
9741.3,0.413714
9741.4,0.364058
9741.5,0.38061
9741.6,0.364058
9741.7,0.364058
9741.8,0.364058
9741.9,0.364058
9742,0.364058
9742.1,0.347506
9742.2,0.347506
9742.3,0.148884
9742.4,0.11578
9742.5,0.148884
9742.6,0.11578
9742.7,0.11578
9742.8,0.132332
9742.9,0.11578
9743,0.11578
9743.1,0.148884
9743.2,0.132332
9743.3,0.215091
9743.4,0.231643
9743.5,0.198539
9743.6,0.215091
9743.7,0.198539
9743.8,0.231643
9743.9,0.231643
9744,0.215091
9744.1,0.215091
9744.2,0.181987
9744.3,0.347506
9744.4,0.364058
9744.5,0.364058
9744.6,0.38061
9744.7,0.347506
9744.8,0.330954
9744.9,0.364058
9745,0.364058
9745.1,0.347506
9745.2,0.347506
9745.3,0.364058
9745.4,0.330954
9745.5,0.347506
9745.6,0.364058
9745.7,0.38061
9745.8,0.347506
9745.9,0.364058
9746,0.347506
9746.1,0.347506
9746.2,0.347506
9746.3,0.181987
9746.4,0.132332
9746.5,0.11578
9746.6,0.099228
9746.7,0.148884
9746.8,0.132332
9746.9,0.099228
9747,0.132332
9747.1,0.132332
9747.2,0.11578
9747.3,0.132332
9747.4,0.132332
9747.5,0.11578
9747.6,0.148884
9747.7,0.148884
9747.8,0.11578
9747.9,0.148884
9748,0.132332
9748.1,0.132332
9748.2,0.148884
9748.3,0.132332
9748.4,0.132332
9748.5,0.132332
9748.6,0.132332
9748.7,0.132332
9748.8,0.132332
9748.9,0.132332
9749,0.132332
9749.1,0.132332
9749.2,0.132332
9749.3,0.11578
9749.4,0.132332
9749.5,0.11578
9749.6,0.099228
9749.7,0.132332
9749.8,0.148884
9749.9,0.099228
9750,0.132332
9750.1,0.132332
9750.2,0.11578
9750.3,0.132332
9750.4,0.11578
9750.5,0.132332
9750.6,0.148884
9750.7,0.11578
9750.8,0.132332
9750.9,0.132332
9751,0.132332
9751.1,0.148884
9751.2,0.132332
9751.3,0.148884
9751.4,0.148884
9751.5,0.132332
9751.6,0.148884
9751.7,0.11578
9751.8,0.148884
9751.9,0.148884
9752,0.148884
9752.1,0.165436
9752.2,0.132332
9752.3,0.198539
9752.4,0.231643
9752.5,0.198539
9752.6,0.181987
9752.7,0.215091
9752.8,0.198539
9752.9,0.198539
9753,0.198539
9753.1,0.198539
9753.2,0.198539
9753.3,0.11578
9753.4,0.132332
9753.5,0.132332
9753.6,0.11578
9753.7,0.132332
9753.8,0.11578
9753.9,0.132332
9754,0.11578
9754.1,0.132332
9754.2,0.099228
9754.3,0.181987
9754.4,0.198539
9754.5,0.215091
9754.6,0.165436
9754.7,0.198539
9754.8,0.198539
9754.9,0.181987
9755,0.215091
9755.1,0.198539
9755.2,0.198539
9755.3,0.446817
9755.4,0.479921
9755.5,0.463369
9755.6,0.463369
9755.7,0.496473
9755.8,0.479921
9755.9,0.463369
9756,0.496473
9756.1,0.446817
9756.2,0.479921
9756.3,0.479921
9756.4,0.463369
9756.5,0.479921
9756.6,0.496473
9756.7,0.446817
9756.8,0.479921
9756.9,0.479921
9757,0.479921
9757.1,0.463369
9757.2,0.479921
9757.3,0.529577
9757.4,0.56268
9757.5,0.513025
9757.6,0.546129
9757.7,0.529577
9757.8,0.513025
9757.9,0.496473
9758,0.529577
9758.1,0.529577
9758.2,0.496473
9758.3,1.125444
9758.4,1.290962
9758.5,1.241307
9758.6,1.241307
9758.7,1.224755
9758.8,1.241307
9758.9,1.224755
9759,1.224755
9759.1,1.208203
9759.2,1.208203
9759.3,0.976477
9759.4,0.910269
9759.5,0.943373
9759.6,0.910269
9759.7,0.910269
9759.8,0.926821
9759.9,0.893718
9760,0.893718
9760.1,0.910269
9760.2,0.926821
9760.3,0.678543
9760.4,0.661992
9760.5,0.661992
9760.6,0.64544
9760.7,0.661992
9760.8,0.64544
9760.9,0.64544
9761,0.628888
9761.1,0.628888
9761.2,0.661992
9761.3,0.943373
9761.4,0.959925
9761.5,0.993029
9761.6,0.959925
9761.7,0.943373
9761.8,0.976477
9761.9,0.993029
9762,0.926821
9762.1,0.943373
9762.2,0.959925
9762.3,0.661992
9762.4,0.579232
9762.5,0.628888
9762.6,0.612336
9762.7,0.595784
9762.8,0.595784
9762.9,0.612336
9763,0.595784
9763.1,0.612336
9763.2,0.595784
9763.3,0.413714
9763.4,0.364058
9763.5,0.38061
9763.6,0.364058
9763.7,0.38061
9763.8,0.38061
9763.9,0.364058
9764,0.397162
9764.1,0.364058
9764.2,0.364058
9764.3,0.364058
9764.4,0.347506
9764.5,0.364058
9764.6,0.397162
9764.7,0.38061
9764.8,0.38061
9764.9,0.38061
9765,0.364058
9765.1,0.347506
9765.2,0.38061
9765.3,0.413714
9765.4,0.413714
9765.5,0.413714
9765.6,0.430265
9765.7,0.413714
9765.8,0.413714
9765.9,0.413714
9766,0.397162
9766.1,0.397162
9766.2,0.413714
9766.3,0.38061
9766.4,0.397162
9766.5,0.397162
9766.6,0.413714
9766.7,0.413714
9766.8,0.38061
9766.9,0.364058
9767,0.430265
9767.1,0.413714
9767.2,0.38061
9767.3,0.513025
9767.4,0.546129
9767.5,0.513025
9767.6,0.529577
9767.7,0.529577
9767.8,0.529577
9767.9,0.513025
9768,0.496473
9768.1,0.529577
9768.2,0.529577
9768.3,0.479921
9768.4,0.463369
9768.5,0.463369
9768.6,0.463369
9768.7,0.446817
9768.8,0.479921
9768.9,0.430265
9769,0.463369
9769.1,0.463369
9769.2,0.446817
9769.3,0.397162
9769.4,0.347506
9769.5,0.38061
9769.6,0.347506
9769.7,0.347506
9769.8,0.364058
9769.9,0.364058
9770,0.38061
9770.1,0.364058
9770.2,0.38061
9770.3,0.215091
9770.4,0.165436
9770.5,0.198539
9770.6,0.181987
9770.7,0.198539
9770.8,0.198539
9770.9,0.198539
9771,0.148884
9771.1,0.165436
9771.2,0.198539
9771.3,-0.496639
9771.4,-0.546295
9771.5,-0.463535
9771.6,-0.513191
9771.7,-0.496639
9771.8,-0.480087
9771.9,-0.480087
9772,-0.463535
9772.1,-0.496639
9772.2,-0.480087
9772.3,-1.920099
9772.4,-2.184929
9772.5,-2.135273
9772.6,-2.135273
9772.7,-2.135273
9772.8,-2.135273
9772.9,-2.151825
9773,-2.184929
9773.1,-2.168377
9773.2,-2.184929
9773.3,-4.270464
9773.4,-4.68426
9773.5,-4.601501
9773.6,-4.651157
9773.7,-4.717364
9773.8,-4.717364
9773.9,-4.750468
9774,-4.783572
9774.1,-4.800123
9774.2,-4.833227
9774.3,-5.064953
9774.4,-5.147713
9774.5,-5.164264
9774.6,-5.197368
9774.7,-5.230472
9774.8,-5.263576
9774.9,-5.296679
9775,-5.329783
9775.1,-5.346335
9775.2,-5.379439
9775.3,-5.826339
9775.4,-5.958754
9775.5,-5.991858
9775.6,-6.00841
9775.7,-6.058065
9775.8,-6.107721
9775.9,-6.124272
9776,-6.173928
9776.1,-6.207032
9776.2,-6.256688
9776.3,-5.611165
9776.4,-5.462198
9776.5,-5.544957
9776.6,-5.561509
9776.7,-5.578061
9776.8,-5.627717
9776.9,-5.66082
9777,-5.677372
9777.1,-5.710476
9777.2,-5.727028
9777.3,-5.031849
9777.4,-4.915987
9777.5,-4.965642
9777.6,-4.982194
9777.7,-4.998746
9777.8,-5.015298
9777.9,-5.048401
9778,-5.081505
9778.1,-5.081505
9778.2,-5.114609
9778.3,-3.79046
9778.4,-3.575285
9778.5,-3.641493
9778.6,-3.624941
9778.7,-3.641493
9778.8,-3.674597
9778.9,-3.674597
9779,-3.674597
9779.1,-3.691149
9779.2,-3.7077
9779.3,-3.144937
9779.4,-3.062178
9779.5,-3.095282
9779.6,-3.111833
9779.7,-3.111833
9779.8,-3.111833
9779.9,-3.111833
9780,-3.128385
9780.1,-3.161489
9780.2,-3.144937
9780.3,-2.565622
9780.4,-2.466311
9780.5,-2.499414
9780.6,-2.499414
9780.7,-2.515966
9780.8,-2.499414
9780.9,-2.499414
9781,-2.515966
9781.1,-2.54907
9781.2,-2.532518
9781.3,-2.234585
9781.4,-2.184929
9781.5,-2.184929
9781.6,-2.201481
9781.7,-2.201481
9781.8,-2.201481
9781.9,-2.201481
9782,-2.218033
9782.1,-2.201481
9782.2,-2.218033
9782.3,-1.638718
9782.4,-1.506303
9782.5,-1.539406
9782.6,-1.539406
9782.7,-1.555958
9782.8,-1.539406
9782.9,-1.539406
9783,-1.539406
9783.1,-1.555958
9783.2,-1.555958
9783.3,-1.83734
9783.4,-1.920099
9783.5,-1.903547
9783.6,-1.903547
9783.7,-1.920099
9783.8,-1.920099
9783.9,-1.920099
9784,-1.903547
9784.1,-1.920099
9784.2,-1.936651
9784.3,-1.936651
9784.4,-1.936651
9784.5,-1.936651
9784.6,-1.920099
9784.7,-1.920099
9784.8,-1.936651
9784.9,-1.953203
9785,-1.953203
9785.1,-1.953203
9785.2,-1.969755
9785.3,-1.953203
9785.4,-1.953203
9785.5,-1.953203
9785.6,-1.969755
9785.7,-1.969755
9785.8,-1.969755
9785.9,-1.969755
9786,-1.969755
9786.1,-1.969755
9786.2,-1.969755
9786.3,-1.671821
9786.4,-1.605614
9786.5,-1.605614
9786.6,-1.622166
9786.7,-1.655269
9786.8,-1.622166
9786.9,-1.622166
9787,-1.638718
9787.1,-1.622166
9787.2,-1.638718
9787.3,-1.30768
9787.4,-1.241473
9787.5,-1.258025
9787.6,-1.274577
9787.7,-1.291128
9787.8,-1.291128
9787.9,-1.274577
9788,-1.274577
9788.1,-1.258025
9788.2,-1.274577
9788.3,-0.943539
9788.4,-0.893884
9788.5,-0.910436
9788.6,-0.910436
9788.7,-0.910436
9788.8,-0.910436
9788.9,-0.926987
9789,-0.910436
9789.1,-0.943539
9789.2,-0.910436
9789.3,-0.910436
9789.4,-0.893884
9789.5,-0.910436
9789.6,-0.893884
9789.7,-0.893884
9789.8,-0.877332
9789.9,-0.910436
9790,-0.926987
9790.1,-0.926987
9790.2,-0.893884
9790.3,-0.579398
9790.4,-0.529743
9790.5,-0.513191
9790.6,-0.496639
9790.7,-0.529743
9790.8,-0.513191
9790.9,-0.546295
9791,-0.496639
9791.1,-0.496639
9791.2,-0.513191
9791.3,-1.175265
9791.4,-1.291128
9791.5,-1.274577
9791.6,-1.258025
9791.7,-1.274577
9791.8,-1.274577
9791.9,-1.274577
9792,-1.274577
9792.1,-1.274577
9792.2,-1.274577
9792.3,-0.976643
9792.4,-0.877332
9792.5,-0.910436
9792.6,-0.910436
9792.7,-0.893884
9792.8,-0.910436
9792.9,-0.926987
9793,-0.926987
9793.1,-0.910436
9793.2,-0.910436
9793.3,-0.579398
9793.4,-0.513191
9793.5,-0.546295
9793.6,-0.546295
9793.7,-0.546295
9793.8,-0.546295
9793.9,-0.529743
9794,-0.546295
9794.1,-0.546295
9794.2,-0.546295
9794.3,-1.506303
9794.4,-1.704925
9794.5,-1.671821
9794.6,-1.688373
9794.7,-1.688373
9794.8,-1.671821
9794.9,-1.688373
9795,-1.688373
9795.1,-1.704925
9795.2,-1.704925
9795.3,-1.39044
9795.4,-1.324232
9795.5,-1.340784
9795.6,-1.340784
9795.7,-1.340784
9795.8,-1.324232
9795.9,-1.357336
9796,-1.340784
9796.1,-1.340784
9796.2,-1.324232
9796.3,-1.340784
9796.4,-1.373888
9796.5,-1.340784
9796.6,-1.340784
9796.7,-1.340784
9796.8,-1.357336
9796.9,-1.340784
9797,-1.324232
9797.1,-1.340784
9797.2,-1.357336
9797.3,-2.350448
9797.4,-2.532518
9797.5,-2.482862
9797.6,-2.499414
9797.7,-2.482862
9797.8,-2.482862
9797.9,-2.515966
9798,-2.515966
9798.1,-2.499414
9798.2,-2.515966
9798.3,-2.532518
9798.4,-2.532518
9798.5,-2.532518
9798.6,-2.54907
9798.7,-2.54907
9798.8,-2.532518
9798.9,-2.565622
9799,-2.54907
9799.1,-2.54907
9799.2,-2.54907
9799.3,-2.880107
9799.4,-2.946315
9799.5,-2.946315
9799.6,-2.962867
9799.7,-2.962867
9799.8,-2.962867
9799.9,-2.962867
9800,-2.962867
9800.1,-2.979419
9800.2,-2.99597
9800.3,-2.99597
9800.4,-2.99597
9800.5,-3.045626
9800.6,-3.012522
9800.7,-3.012522
9800.8,-3.045626
9800.9,-3.029074
9801,-3.012522
9801.1,-3.029074
9801.2,-3.062178
9801.3,-2.698037
9801.4,-2.681485
9801.5,-2.648381
9801.6,-2.648381
9801.7,-2.664933
9801.8,-2.664933
9801.9,-2.698037
9802,-2.664933
9802.1,-2.681485
9802.2,-2.714589
9802.3,-3.045626
9802.4,-3.111833
9802.5,-3.111833
9802.6,-3.128385
9802.7,-3.128385
9802.8,-3.144937
9802.9,-3.128385
9803,-3.111833
9803.1,-3.144937
9803.2,-3.178041
9803.3,-3.178041
9803.4,-3.128385
9803.5,-3.194593
9803.6,-3.194593
9803.7,-3.178041
9803.8,-3.178041
9803.9,-3.194593
9804,-3.194593
9804.1,-3.211144
9804.2,-3.211144
9804.3,-3.194593
9804.4,-3.227696
9804.5,-3.227696
9804.6,-3.227696
9804.7,-3.227696
9804.8,-3.244248
9804.9,-3.244248
9805,-3.244248
9805.1,-3.244248
9805.2,-3.244248
9805.3,-3.2608
9805.4,-3.2608
9805.5,-3.244248
9805.6,-3.277352
9805.7,-3.277352
9805.8,-3.293904
9805.9,-3.310456
9806,-3.327008
9806.1,-3.327008
9806.2,-3.327008
9806.3,-3.310456
9806.4,-3.310456
9806.5,-3.34356
9806.6,-3.34356
9806.7,-3.327008
9806.8,-3.327008
9806.9,-3.327008
9807,-3.360111
9807.1,-3.34356
9807.2,-3.360111
9807.3,-3.376663
9807.4,-3.376663
9807.5,-3.376663
9807.6,-3.376663
9807.7,-3.376663
9807.8,-3.376663
9807.9,-3.393215
9808,-3.393215
9808.1,-3.393215
9808.2,-3.426319
9808.3,-3.393215
9808.4,-3.426319
9808.5,-3.442871
9808.6,-3.426319
9808.7,-3.442871
9808.8,-3.459423
9808.9,-3.442871
9809,-3.442871
9809.1,-3.459423
9809.2,-3.459423
9809.3,-3.07873
9809.4,-3.029074
9809.5,-3.029074
9809.6,-3.045626
9809.7,-3.045626
9809.8,-3.029074
9809.9,-3.045626
9810,-3.062178
9810.1,-3.062178
9810.2,-3.07873
9810.3,-3.062178
9810.4,-3.07873
9810.5,-3.07873
9810.6,-3.07873
9810.7,-3.07873
9810.8,-3.095282
9810.9,-3.095282
9811,-3.095282
9811.1,-3.095282
9811.2,-3.128385
9811.3,-2.731141
9811.4,-2.664933
9811.5,-2.664933
9811.6,-2.664933
9811.7,-2.664933
9811.8,-2.664933
9811.9,-2.681485
9812,-2.681485
9812.1,-2.681485
9812.2,-2.698037
9812.3,-1.142162
9812.4,-0.778021
9812.5,-0.844228
9812.6,-0.811124
9812.7,-0.811124
9812.8,-0.811124
9812.9,-0.811124
9813,-0.811124
9813.1,-0.827676
9813.2,-0.811124
9813.3,-0.844228
9813.4,-0.827676
9813.5,-0.827676
9813.6,-0.811124
9813.7,-0.811124
9813.8,-0.811124
9813.9,-0.827676
9814,-0.811124
9814.1,-0.811124
9814.2,-0.811124
9814.3,-1.241473
9814.4,-1.324232
9814.5,-1.291128
9814.6,-1.324232
9814.7,-1.30768
9814.8,-1.30768
9814.9,-1.30768
9815,-1.30768
9815.1,-1.291128
9815.2,-1.291128
9815.3,-1.704925
9815.4,-1.787684
9815.5,-1.754581
9815.6,-1.771132
9815.7,-1.787684
9815.8,-1.787684
9815.9,-1.787684
9816,-1.787684
9816.1,-1.787684
9816.2,-1.771132
9816.3,-1.357336
9816.4,-1.30768
9816.5,-1.30768
9816.6,-1.324232
9816.7,-1.324232
9816.8,-1.324232
9816.9,-1.324232
9817,-1.324232
9817.1,-1.30768
9817.2,-1.30768
9817.3,-1.324232
9817.4,-1.324232
9817.5,-1.30768
9817.6,-1.30768
9817.7,-1.30768
9817.8,-1.30768
9817.9,-1.324232
9818,-1.30768
9818.1,-1.324232
9818.2,-1.324232
9818.3,-0.926987
9818.4,-0.844228
9818.5,-0.86078
9818.6,-0.844228
9818.7,-0.844228
9818.8,-0.86078
9818.9,-0.844228
9819,-0.844228
9819.1,-0.86078
9819.2,-0.86078
9819.3,-1.655269
9819.4,-1.853892
9819.5,-1.804236
9819.6,-1.804236
9819.7,-1.771132
9819.8,-1.820788
9819.9,-1.820788
9820,-1.820788
9820.1,-1.804236
9820.2,-1.804236
9820.3,-1.804236
9820.4,-1.804236
9820.5,-1.820788
9820.6,-1.804236
9820.7,-1.804236
9820.8,-1.804236
9820.9,-1.820788
9821,-1.83734
9821.1,-1.820788
9821.2,-1.83734
9821.3,-0.976643
9821.4,-0.827676
9821.5,-0.893884
9821.6,-0.877332
9821.7,-0.86078
9821.8,-0.86078
9821.9,-0.893884
9822,-0.893884
9822.1,-0.86078
9822.2,-0.86078
9822.3,-0.86078
9822.4,-0.86078
9822.5,-0.877332
9822.6,-0.86078
9822.7,-0.844228
9822.8,-0.86078
9822.9,-0.86078
9823,-0.86078
9823.1,-0.86078
9823.2,-0.86078
9823.3,-0.877332
9823.4,-0.844228
9823.5,-0.86078
9823.6,-0.877332
9823.7,-0.86078
9823.8,-0.877332
9823.9,-0.893884
9824,-0.86078
9824.1,-0.877332
9824.2,-0.86078
9824.3,-0.480087
9824.4,-0.33112
9824.5,-0.380776
9824.6,-0.397328
9824.7,-0.397328
9824.8,-0.397328
9824.9,-0.380776
9825,-0.397328
9825.1,-0.380776
9825.2,-0.397328
9825.3,-0.066291
9825.4,-0.016635
9825.5,-0.016635
9825.6,-0.016635
9825.7,-0.016635
9825.8,-0.016635
9825.9,-0.016635
9826,-0.016635
9826.1,-0.016635
9826.2,-0.016635
9826.3,-0.016635
9826.4,-0.016635
9826.5,-0.016635
9826.6,-0.016635
9826.7,-0.016635
9826.8,-0.016635
9826.9,-0.016635
9827,-0.016635
